t,z,authority_ratio,turns,release,valve,afilt,bhat,vz,state,itki,safety,thrust
1.1,0.429855443612,2.98253201306,0.515154057749,1,0.36,-0.815883896186,29.6580306893,-0.0434701105435,4,0,0,229.756257755
1.11,0.429348323168,2.96740283205,0.515154057749,1,0.366,-0.866586169548,29.5963485935,-0.0579667336756,4,0,0,229.543823517
1.12,0.428695850107,2.95223864729,0.515154057749,1,0.372,-0.913850366181,29.5302369206,-0.0725406199502,4,0,0,229.331619477
1.13,0.427897252218,2.9372303875,0.515154057749,1,0.378,-0.957950862482,29.4604200892,-0.0871916856497,4,0,0,229.119645351
1.14,0.426951758123,2.92251988303,0.515154057749,1,0.384,-0.999140085565,29.3875461679,-0.10191984716,4,0,0,228.907900854
1.15,0.425858597283,2.908209882,0.515154057749,1,0.39,-1.0376502692,29.3121939035,-0.11672502097,4,0,0,228.696385703
1.16,0.424616999992,2.89437216929,0.515154057749,1,0.396,-1.07369506929,29.23487914,-0.131607123673,4,0,0,228.485099613
1.17,0.423226197377,2.88105413735,0.568178229587,1,0.402,-1.10747105008,29.1560606808,-0.146566071964,4,0,0,228.274042303
1.18,0.421685421399,2.80730028398,0.611968745102,1,0.408,-1.1391590515,28.9100215062,-0.161601782643,4,0,0,228.063213487
1.19,0.420039567998,2.70891834889,0.646525604293,1,0.414,-1.08822360077,28.5730317741,-0.166626441817,4,0,0,258.838881638
1.2,0.418391428989,2.60643010098,0.671848807161,1,0.42,-0.965995323288,28.1934657872,-0.162230143139,4,0,0,284.122937158
1.21,0.416825251693,2.51158388386,0.687938353706,1,0.426,-0.794109288592,27.8034422033,-0.150404342035,4,0,0,303.94016119
1.22,0.415405407099,2.43118327471,0.694794243927,1,0.432,-0.592408747753,27.4257644552,-0.133132867316,4,0,0,318.312339287
1.23,0.414176473153,2.3692566398,0.695913774957,1,0.438,-0.379089488028,27.0778719515,-0.112392047328,4,0,0,327.260310745
1.24,0.413163305308,2.32601861335,0.695913774957,1,0.444,-0.170825644941,26.7679184986,-0.0901499618225,4,0,0,330.808455752
1.25,0.412375187012,2.29824822536,0.695913774957,1,0.45,0.0223995100575,26.49439663,-0.0677050738971,4,0,0,331.012792957
1.26,0.411809811162,2.28250301155,0.695913774957,1,0.456,0.199072748725,26.2536915406,-0.0453969239632,4,0,0,330.566161638
1.27,0.411466704341,2.27600465309,0.695913774957,1,0.462,0.360313018379,26.0424903918,-0.0232511627692,4,0,0,330.120064504
1.28,0.411344250035,2.27606241408,0.695913774957,1,0.468,0.507366786669,25.8577810283,-0.00126631154909,4,0,0,329.674657976
1.29,0.411440830755,2.27671110422,0.695913774957,1,0.474,0.641352209664,25.6968230433,0.0205555341919,4,0,0,329.22995149
1.3,0.411754818431,2.27788580974,0.695913774957,1,0.48,0.76332248831,25.5571271534,0.0422153411194,4,0,0,328.78594611
1.31,0.412284596732,2.27952718372,0.695913774957,1,0.486,0.874243571627,25.4364331899,0.0637137014171,4,0,0,328.342641296
1.32,0.413028552467,2.2815809813,0.695913774957,1,0.492,0.975001433916,25.3326899783,0.0850508699195,4,0,0,327.900036021
1.33,0.41398507499,2.28399764444,0.695913774957,1,0.498,1.06641116786,25.2440372099,0.106227101002,4,0,0,327.4581291
1.34,0.415152556197,2.28673191999,0.695913774957,1,0.504,1.14922265506,25.1687888328,0.12724264858,4,0,0,327.016919301
1.35,0.416529390521,2.28974250851,0.695913774957,1,0.510114991176,1.22412578292,25.1054178402,0.148097766114,4,0,0,326.576405376
1.36,0.418113974926,2.29299174126,0.695913774957,1,0.511191631873,1.29175524422,25.0525423374,0.168792706605,4,0,0,326.136586074
1.37,0.419904708906,2.29644528318,0.695913774957,1,0.512083436403,1.35269495265,25.0089127857,0.189327722602,4,0,0,325.697460145
1.38,0.421899994476,2.30007185983,0.695913774957,1,0.512811624945,1.40748210519,24.9734003229,0.209703066195,4,0,0,325.259026341
1.39,0.42409823617,2.30384300619,0.695913774957,1,0.513395756663,1.4566109194,24.9449860732,0.229918989023,4,0,0,324.821283417
1.4,0.426497841038,2.30773283578,0.695913774957,1,0.513853780148,1.50053607184,24.9227513639,0.249975742273,4,0,0,324.384230128
1.41,0.429097218638,2.31171782833,0.695913774957,1,0.514202098955,1.53967586164,24.9058687742,0.269873576715,4,0,0,323.947865234
1.42,0.431894781032,2.31577663453,0.695913774957,1,0.514455647796,1.57441511942,24.893593947,0.289612742555,4,0,0,323.512187498
1.43,0.434888942786,2.31988989657,0.748943381023,1,0.51462797568,1.60510788673,24.8852580995,0.309193489662,4,0,0,323.077195682
1.44,0.438078120958,2.31836594281,0.792750199223,1,0.516931591902,1.63207987786,24.7743612513,0.328616067422,4,0,0,322.642888554
1.45,0.441504921348,2.30220499065,0.827334229556,1,0.519995424112,1.73371718296,24.6283898014,0.357641529337,4,0,0,352.182776971
